	Gradient	Intercept
S0	0.0	0
S1	0.36363636363636365	0
S2	0.7272727272727273	0
S3	1.0909090909090908	0
S4	1.4545454545454546	0
S5	1.8181818181818183	0
S6	2.1818181818181817	0
S7	2.5454545454545454	0
S8	2.909090909090909	0
S9	3.272727272727273	0
S10	3.6363636363636367	0
S11	4.0	0
S12	4.363636363636363	0
S13	4.7272727272727275	0
S14	5.090909090909091	0
S15	5.454545454545455	0
S16	5.818181818181818	0
S17	6.181818181818182	0
S18	6.545454545454546	0
S19	6.909090909090909	0
S20	7.272727272727273	0
S21	7.636363636363637	0
S22	8.0	0
S23	8.363636363636363	0
S24	8.727272727272727	0
S25	9.090909090909092	0
S26	9.454545454545455	0
S27	9.818181818181818	0
S28	10.181818181818182	0
S29	10.545454545454545	0
S30	10.90909090909091	0
S31	11.272727272727273	0
S32	11.636363636363637	0
S33	12.0	0
S34	12.363636363636363	0
S35	12.727272727272728	0
S36	13.090909090909092	0
S37	13.454545454545455	0
S38	13.818181818181818	0
S39	14.181818181818182	0
S40	14.545454545454547	0
S41	14.90909090909091	0
S42	15.272727272727273	0
S43	15.636363636363637	0
S44	16.0	0
S45	16.363636363636363	0
S46	16.727272727272727	0
S47	17.09090909090909	0
S48	17.454545454545453	0
S49	17.81818181818182	0
S50	18.181818181818183	0
S51	18.545454545454547	0
S52	18.90909090909091	0
S53	19.272727272727273	0
S54	19.636363636363637	0
S55	20.0	0
S56	20.363636363636363	0
S57	20.727272727272727	0
S58	21.09090909090909	0
S59	21.454545454545457	0
S60	21.81818181818182	0
S61	22.181818181818183	0
S62	22.545454545454547	0
S63	22.90909090909091	0
S64	23.272727272727273	0
S65	23.636363636363637	0
S66	24.0	0
S67	24.363636363636363	0
S68	24.727272727272727	0
S69	25.09090909090909	0
S70	25.454545454545457	0
S71	25.81818181818182	0
S72	26.181818181818183	0
S73	26.545454545454547	0
S74	26.90909090909091	0
S75	27.272727272727273	0
S76	27.636363636363637	0
S77	28.0	0
S78	28.363636363636363	0
S79	28.727272727272727	0
S80	29.090909090909093	0
S81	29.454545454545457	0
S82	29.81818181818182	0
S83	30.181818181818183	0
S84	30.545454545454547	0
S85	30.90909090909091	0
S86	31.272727272727273	0
S87	31.636363636363637	0
S88	32.0	0
S89	32.36363636363637	0
S90	32.72727272727273	0
S91	33.09090909090909	0
S92	33.45454545454545	0
S93	33.81818181818182	0
S94	34.18181818181818	0
S95	34.54545454545455	0
S96	34.90909090909091	0
S97	35.27272727272727	0
S98	35.63636363636364	0
S99	36.0	0
