	intercept	confounder	gradient
S0	1.0	0.0	0.0
S1	1.0	0.0	0.36363636363636365
S2	1.0	0.0	0.7272727272727273
S3	1.0	0.0	1.0909090909090908
S4	1.0	0.0	1.4545454545454546
S5	1.0	0.0	1.8181818181818183
S6	1.0	0.0	2.1818181818181817
S7	1.0	0.0	2.5454545454545454
S8	1.0	0.0	2.909090909090909
S9	1.0	0.0	3.272727272727273
S10	1.0	0.0	3.6363636363636367
S11	1.0	0.0	4.0
S12	1.0	0.0	4.363636363636363
S13	1.0	0.0	4.7272727272727275
S14	1.0	0.0	5.090909090909091
S15	1.0	0.0	5.454545454545455
S16	1.0	0.0	5.818181818181818
S17	1.0	0.0	6.181818181818182
S18	1.0	0.0	6.545454545454546
S19	1.0	0.0	6.909090909090909
S20	1.0	0.0	7.272727272727273
S21	1.0	0.0	7.636363636363637
S22	1.0	0.0	8.0
S23	1.0	0.0	8.363636363636363
S24	1.0	0.0	8.727272727272727
S25	1.0	0.0	9.090909090909092
S26	1.0	0.0	9.454545454545455
S27	1.0	0.0	9.818181818181818
S28	1.0	0.0	10.181818181818182
S29	1.0	0.0	10.545454545454545
S30	1.0	0.0	10.90909090909091
S31	1.0	0.0	11.272727272727273
S32	1.0	0.0	11.636363636363637
S33	1.0	0.0	12.0
S34	1.0	0.0	12.363636363636363
S35	1.0	0.0	12.727272727272728
S36	1.0	0.0	13.090909090909092
S37	1.0	0.0	13.454545454545455
S38	1.0	0.0	13.818181818181818
S39	1.0	0.0	14.181818181818182
S40	1.0	0.0	14.545454545454547
S41	1.0	0.0	14.90909090909091
S42	1.0	0.0	15.272727272727273
S43	1.0	0.0	15.636363636363637
S44	1.0	0.0	16.0
S45	1.0	0.0	16.363636363636363
S46	1.0	0.0	16.727272727272727
S47	1.0	0.0	17.09090909090909
S48	1.0	0.0	17.454545454545453
S49	1.0	0.0	17.81818181818182
S50	1.0	0.0	18.181818181818183
S51	1.0	0.0	18.545454545454547
S52	1.0	0.0	18.90909090909091
S53	1.0	0.0	19.272727272727273
S54	1.0	0.0	19.636363636363637
S55	1.0	0.0	20.0
S56	1.0	0.0	20.363636363636363
S57	1.0	0.0	20.727272727272727
S58	1.0	0.0	21.09090909090909
S59	1.0	0.0	21.454545454545457
S60	1.0	0.0	21.81818181818182
S61	1.0	0.0	22.181818181818183
S62	1.0	0.0	22.545454545454547
S63	1.0	0.0	22.90909090909091
S64	1.0	0.0	23.272727272727273
S65	1.0	0.0	23.636363636363637
S66	1.0	0.0	24.0
S67	1.0	0.0	24.363636363636363
S68	1.0	0.0	24.727272727272727
S69	1.0	0.0	25.09090909090909
S70	1.0	0.0	25.454545454545457
S71	1.0	0.0	25.81818181818182
S72	1.0	0.0	26.181818181818183
S73	1.0	0.0	26.545454545454547
S74	1.0	0.0	26.90909090909091
S75	1.0	0.0	27.272727272727273
S76	1.0	0.0	27.636363636363637
S77	1.0	0.0	28.0
S78	1.0	0.0	28.363636363636363
S79	1.0	0.0	28.727272727272727
S80	1.0	0.0	29.090909090909093
S81	1.0	0.0	29.454545454545457
S82	1.0	0.0	29.81818181818182
S83	1.0	0.0	30.181818181818183
S84	1.0	0.0	30.545454545454547
S85	1.0	0.0	30.90909090909091
S86	1.0	0.0	31.272727272727273
S87	1.0	0.0	31.636363636363637
S88	1.0	0.0	32.0
S89	1.0	0.0	32.36363636363637
S90	1.0	0.0	32.72727272727273
S91	1.0	0.0	33.09090909090909
S92	1.0	0.0	33.45454545454545
S93	1.0	0.0	33.81818181818182
S94	1.0	0.0	34.18181818181818
S95	1.0	0.0	34.54545454545455
S96	1.0	0.0	34.90909090909091
S97	1.0	0.0	35.27272727272727
S98	1.0	0.0	35.63636363636364
S99	1.0	0.0	36.0
S100	1.0	1.0	0.0
S101	1.0	1.0	0.36363636363636365
S102	1.0	1.0	0.7272727272727273
